Community Area,Community Area min,Community_Area_Population,Community_Area_Density
ROGERS PARK,Rogers Park,54388,"29,558.7"
WEST RIDGE,West Ridge,78227,"22,160.62"
UPTOWN,Uptown,57331,"24,711.64"
LINCOLN SQUARE,Lincoln Square,41673,"16,278.52"
NORTH CENTER,North Center,35408,"17,272.2"
LAKE VIEW,Lake View,101163,"32,424.04"
LINCOLN PARK,Lincoln Park,67831,"21,465.51"
NEAR NORTH SIDE,Near North Side,104712,"38,216.06"
EDISON PARK,Edison Park,11203,"9,914.16"
NORWOOD PARK,Norwood Park,38895,"8,900.46"
JEFFERSON PARK,Jefferson Park,26643,"11,434.76"
FOREST GLEN,Forest Glen,19517,"6,099.06"
NORTH PARK,North Park,18742,"7,437.3"
ALBANY PARK,Albany Park,46620,"24,281.25"
PORTAGE PARK,Portage Park,61793,"15,643.8"
IRVING PARK,Irving Park,53832,"16,770.09"
DUNNING,Dunning,41816,"11,240.86"
MONTCLARE,Montclare,14084,"14,226.26"
BELMONT CRAGIN,Belmont Cragin,72918,"18,649.1"
HERMOSA,Hermosa,22776,"19,466.67"
AVONDALE,Avondale,35489,"17,923.74"
LOGAN SQUARE,Logan Square,70869,"19,740.67"
HUMBOLDT PARK,Humboldt Park,55598,"15,443.89"
WEST TOWN,West Town,86598,"18,907.86"
AUSTIN,Austin,98882,"13,829.65"
WEST GARFIELD PARK,West Garfield Park,15619,"12,202.34"
EAST GARFIELD PARK,East Garfield Park,20526,"10,635.23"
NEAR WEST SIDE,Near West Side,66084,"11,614.06"
NORTH LAWNDALE,North Lawndale,31244,"9,733.33"
SOUTH LAWNDALE,South Lawndale,68798,"14,988.67"
LOWER WEST SIDE,Lower West Side,33279,"11,358.02"
LOOP,Loop,42181,"25,564.24"
NEAR SOUTH SIDE,Near South Side,29174,"16,389.89"
ARMOUR SQUARE,Armour Square,14239,"14,239"
DOUGLAS,Douglas,21756,"13,185.45"
OAKLAND,Oakland,6946,"11,975.86"
FULLER PARK,Fuller Park,2221,"3,128.17"
GRAND BOULEVARD,Grand Boulevard,26345,"15,140.8"
KENWOOD,Kenwood,18138,"17,440.38"
WASHINGTON PARK,Washington Park,13111,"8,625.66"
HYDE PARK,Hyde Park,29591,"18,379.5"
WOODLAWN,Woodlawn,23956,"11,572.95"
SOUTH SHORE,South Shore,54345,"18,547.78"
CHATHAM,Chatham,30783,"10,434.92"
AVALON PARK,Avalon Park,9447,"7,557.6"
SOUTH CHICAGO,South Chicago,29381,"8,796.71"
BURNSIDE,Burnside,2148,"3,521.31"
CALUMET HEIGHTS,Calumet Heights,11645,"6,654.29"
ROSELAND,Roseland,36700,"7,614.11"
PULLMAN,Pullman,6741,"3,179.72"
SOUTH DEERING,South Deering,14210,"1,303.67"
EAST SIDE,East Side,22722,"7,624.83"
WEST PULLMAN,West Pullman,24470,"6,873.6"
RIVERDALE,Riverdale,10515,"2,978.75"
HEGEWISCH,Hegewisch,9042,"1,725.57"
GARFIELD RIDGE,Garfield Ridge,36426,"8,611.35"
ARCHER HEIGHTS,Archer Heights,14021,"6,975.62"
BRIGHTON PARK,Brighton Park,42062,"15,463.97"
MCKINLEY PARK,McKinley Park,15443,"10,952.48"
BRIDGEPORT,Bridgeport,33091,"15,833.01"
NEW CITY,New City,41790,"8,652.17"
WEST ELSDON,West Elsdon,18568,"15,870.09"
GAGE PARK,Gage Park,35691,"16,223.18"
CLEARING,Clearing,24924,"9,774.12"
WEST LAWN,West Lawn,32649,"11,067.46"
CHICAGO LAWN,Chicago Lawn,53460,"15,144.48"
WEST ENGLEWOOD,West Englewood,26729,"8,485.4"
ENGLEWOOD,Englewood,21411,"6,974.27"
GREATER GRAND CROSSING,Greater Grand Crossing,29563,"8,327.61"
ASHBURN,Ashburn,42079,"8,658.23"
AUBURN GRESHAM,Auburn Gresham,45049,"11,949.34"
BEVERLY,Beverly,19570,"6,154.09"
WASHINGTON HEIGHTS,Washington Heights,25312,"8,850.35"
MOUNT GREENWOOD,Mount Greenwood,18553,"6,846.13"
MORGAN PARK,Morgan Park,21325,"6,462.12"
O'HARE,O'Hare,14004,"1,049.78"
EDGEWATER,Edgewater,56146,"32,267.82"
